operationalDate,transferPoint,ownershipPercentage
2018-11-30,ORITO-PR-TR,0.5
2018-11-30,PALAGUA-VAS,0.63
2018-11-30,PERENCO-OBC,1
2018-11-30,QUIFA-ODL,0.51
2018-11-30,RUBIALES-ODL,0.42
2018-11-30,SANTANA-OMO,0.3
2018-11-30,SANTIAGO-CENIT,0.32
2018-12-31,CAÑO_LIMON_OCLC,0.95
2018-12-31,CICUCO-AYA,0.15
2018-12-31,CUPIAGUA-OCSA,0.91
2018-12-31,CUSIANA-OCSA,0.98
2018-12-31,DINA-TENAY,0.94
2018-12-31,ESPINAL-OAM,0.27
2018-12-31,FLOREÑA_OBC,0.96
2018-12-31,GUADUAS-OAM,0
2018-12-31,GUANDO-OAM,0.75
2018-12-31,JAGUAR-SANTIAGO,0.41
2018-12-31,MB_GRB_18,0.32
2018-12-31,MELC-NARE,0.4
2018-12-31,OCELOTE-ODL,0.08
2018-12-31,ORITO-PR-TR,0.72
2018-12-31,PALAGUA-VAS,0.62
2018-12-31,PERENCO-OBC,1
2018-12-31,QUIFA-ODL,0.49
2018-12-31,RUBIALES-ODL,0.42
2018-12-31,SANTANA-OMO,0.31
2018-12-31,SANTIAGO-CENIT,0.23
2019-01-31,CAÑO_LIMON_OCLC,0.53
2019-01-31,CICUCO-AYA,0.2
2019-01-31,CUPIAGUA-OCSA,0.92
2019-01-31,CUSIANA-OCSA,0.95
2019-01-31,DINA-TENAY,0.94
2019-01-31,ESPINAL-OAM,0.33
2019-01-31,FLOREÑA_OBC,0.99
2019-01-31,GUADUAS-OAM,0
2019-01-31,GUANDO-OAM,0.75
2019-01-31,JAGUAR-SANTIAGO,0.32
2019-01-31,MB_GRB_18,0.31
2019-01-31,MELC-NARE,0.49
2019-01-31,OCELOTE-ODL,0.08
2019-01-31,ORITO-PR-TR,0.77
2019-01-31,PALAGUA-VAS,0.59
2019-01-31,PERENCO-OBC,1
2019-01-31,QUIFA-ODL,0.46
2019-01-31,RUBIALES-ODL,0.42
2019-01-31,SANTANA-OMO,0.31
2019-01-31,SANTIAGO-CENIT,0.33
2019-02-28,CAÑO_LIMON_OCLC,0.8
2019-02-28,CICUCO-AYA,0.2
2019-02-28,CUPIAGUA-OCSA,0.92
2019-02-28,CUSIANA-OCSA,0.99
2019-02-28,DINA-TENAY,0.94
2019-02-28,ESPINAL-OAM,0.33
2019-02-28,FLOREÑA_OBC,1
2019-02-28,GUADUAS-OAM,0
2019-02-28,GUANDO-OAM,0.75
2019-02-28,JAGUAR-SANTIAGO,0.37
2019-02-28,MB_GRB_18,0.37
2019-02-28,MELC-NARE,0.49
2019-02-28,OCELOTE-ODL,0.11
2019-02-28,ORITO-PR-TR,0.67
2019-02-28,PALAGUA-VAS,0.58
2019-02-28,PERENCO-OBC,1
2019-02-28,QUIFA-ODL,0.45
2019-02-28,RUBIALES-ODL,0.42
2019-02-28,SANTANA-OMO,1
2019-02-28,SANTIAGO-CENIT,0.35
2019-03-31,CAÑO_LIMON_OCLC,0.78
2019-03-31,CICUCO-AYA,0.22
2019-03-31,CUPIAGUA-OCSA,0.91
2019-03-31,CUSIANA-OCSA,0.99
2019-03-31,DINA-TENAY,0.93
2019-03-31,ESPINAL-OAM,0.3
2019-03-31,FLOREÑA_OBC,1
2019-03-31,GUADUAS-OAM,0
2019-03-31,GUANDO-OAM,0.75
2019-03-31,JAGUAR-SANTIAGO,0.35
2019-03-31,MB_GRB_18,0.42
2019-03-31,MELC-NARE,0.53
2019-03-31,OCELOTE-ODL,0.09
2019-03-31,ORITO-PR-TR,0.45
2019-03-31,PALAGUA-VAS,0.6
2019-03-31,PERENCO-OBC,1
2019-03-31,QUIFA-ODL,0.45
2019-03-31,RUBIALES-ODL,0.42
2019-03-31,SANTANA-OMO,1
2019-03-31,SANTIAGO-CENIT,0.29
2019-04-30,CAÑO_LIMON_OCLC,0.77
2019-04-30,CICUCO-AYA,0.07
2019-04-30,CUPIAGUA-OCSA,0.91
2019-04-30,CUSIANA-OCSA,1
2019-04-30,DINA-TENAY,0.94
2019-04-30,ESPINAL-OAM,0.29
2019-04-30,FLOREÑA_OBC,0.89
2019-04-30,GUADUAS-OAM,0.01
2019-04-30,GUANDO-OAM,0.75
2019-04-30,JAGUAR-SANTIAGO,0.34
2019-04-30,MB_GRB_18,0.34
2019-04-30,MELC-NARE,0.53
2019-04-30,OCELOTE-ODL,0.09
2019-04-30,ORITO-PR-TR,0.19
2019-04-30,PALAGUA-VAS,0.59
2019-04-30,PERENCO-OBC,1
2019-04-30,QUIFA-ODL,0.46
2019-04-30,RUBIALES-ODL,0.41
2019-04-30,SANTANA-OMO,1
2019-04-30,SANTIAGO-CENIT,0.67
2019-05-31,CAÑO_LIMON_OCLC,0.66
2019-05-31,CICUCO-AYA,0.2
2019-05-31,CUPIAGUA-OCSA,0.91
2019-05-31,CUSIANA-OCSA,1
2019-05-31,DINA-TENAY,0.93
2019-05-31,ESPINAL-OAM,0.31
2019-05-31,FLOREÑA_OBC,0.99
2019-05-31,GUADUAS-OAM,0.01
2019-05-31,GUANDO-OAM,0.75
2019-05-31,JAGUAR-SANTIAGO,0.33
2019-05-31,MB_GRB_18,0.34
2019-05-31,MELC-NARE,0.53
2019-05-31,OCELOTE-ODL,0.08
2019-05-31,ORITO-PR-TR,0.32
2019-05-31,PALAGUA-VAS,0.61
2019-05-31,PERENCO-OBC,1
2019-05-31,QUIFA-ODL,0.48
2019-05-31,RUBIALES-ODL,0.41
2019-05-31,SANTANA-OMO,1
2019-05-31,SANTIAGO-CENIT,0.29
2019-06-30,CAÑO_LIMON_OCLC,1
2019-06-30,CICUCO-AYA,0.2
2019-06-30,CUPIAGUA-OCSA,0.91
2019-06-30,CUSIANA-OCSA,1
2019-06-30,DINA-TENAY,0.94
2019-06-30,ESPINAL-OAM,0.32
2019-06-30,FLOREÑA_OBC,0.86
2019-06-30,GUADUAS-OAM,0.01
2019-06-30,GUANDO-OAM,0.75
2019-06-30,JAGUAR-SANTIAGO,0.3
2019-06-30,MB_GRB_18,0.28
2019-06-30,MELC-NARE,0.53
2019-06-30,OCELOTE-ODL,0.08
2019-06-30,ORITO-PR-TR,0.08
2019-06-30,PALAGUA-VAS,0.57
2019-06-30,PERENCO-OBC,1
2019-06-30,QUIFA-ODL,0.48
2019-06-30,RUBIALES-ODL,0.41
2019-06-30,SANTANA-OMO,1
2019-06-30,SANTIAGO-CENIT,0.35
2019-07-31,CAÑO_LIMON_OCLC,1
2019-07-31,CICUCO-AYA,0.2
2019-07-31,CUPIAGUA-OCSA,0.91
2019-07-31,CUSIANA-OCSA,1
2019-07-31,DINA-TENAY,0.94
2019-07-31,ESPINAL-OAM,0.31
2019-07-31,FLOREÑA_OBC,0.85
2019-07-31,GUADUAS-OAM,0.01
2019-07-31,GUANDO-OAM,0.75
2019-07-31,JAGUAR-SANTIAGO,0.28
2019-07-31,MB_GRB_18,0.37
2019-07-31,MELC-NARE,0.53
2019-07-31,OCELOTE-ODL,0.08
2019-07-31,ORITO-PR-TR,0.61
2019-07-31,PALAGUA-VAS,0.6
2019-07-31,PERENCO-OBC,1
2019-07-31,QUIFA-ODL,0.46
2019-07-31,RUBIALES-ODL,0.41
2019-07-31,SANTIAGO-CENIT,0.31
2019-08-31,CAÑO_LIMON_OCLC,1
2019-08-31,CICUCO-AYA,0.2
2019-08-31,CUPIAGUA-OCSA,0.91
2019-08-31,CUSIANA-OCSA,0.99
2019-08-31,DINA-TENAY,0.94
2019-08-31,ESPINAL-OAM,0.3
2019-08-31,FLOREÑA_OBC,0.9
2019-08-31,GUADUAS-OAM,0.01
2019-08-31,GUANDO-OAM,0.73
2019-08-31,JAGUAR-SANTIAGO,0.28
2019-08-31,MB_GRB_18,0.34
2019-08-31,MELC-NARE,0.51
2019-08-31,OCELOTE-ODL,0.08
2019-08-31,ORITO-PR-TR,0.63
2019-08-31,PALAGUA-VAS,0.6
2019-08-31,PERENCO-OBC,1
2019-08-31,QUIFA-ODL,0.46
2019-08-31,RUBIALES-ODL,0.41
2019-08-31,SANTANA-OMO,1
2019-08-31,SANTIAGO-CENIT,0.32
2019-09-30,CAÑO_LIMON_OCLC,1
2019-09-30,CICUCO-AYA,0.2
2019-09-30,CUPIAGUA-OCSA,0.93
2019-09-30,CUSIANA-OCSA,1
2019-09-30,DINA-TENAY,0.95
2019-09-30,ESPINAL-OAM,0.36
2019-09-30,FLOREÑA_OBC,1
2019-09-30,GUADUAS-OAM,0.01
2019-09-30,GUANDO-OAM,0.75
2019-09-30,JAGUAR-SANTIAGO,0.28
2019-09-30,MB_GRB_18,0.35
2019-09-30,MELC-NARE,0.5
2019-09-30,OCELOTE-ODL,0.08
2019-09-30,ORITO-PR-TR,1
2019-09-30,PALAGUA-VAS,0.6
2019-09-30,PERENCO-OBC,1
2019-09-30,QUIFA-ODL,0.46
2019-09-30,RUBIALES-ODL,0.41
2019-09-30,SANTANA-OMO,1
2019-09-30,SANTIAGO-CENIT,0.32
2019-10-31,CAÑO_LIMON_OCLC,1
2019-10-31,CICUCO-AYA,0.18
2019-10-31,CUPIAGUA-OCSA,0.91
2019-10-31,CUSIANA-OCSA,1
2019-10-31,DINA-TENAY,0.95
2019-10-31,ESPINAL-OAM,0.29
2019-10-31,FLOREÑA_OBC,0.99
2019-10-31,GUADUAS-OAM,0.01
2019-10-31,GUANDO-OAM,0.75
2019-10-31,JAGUAR-SANTIAGO,0.29
2019-10-31,MB_GRB_18,0.26
2019-10-31,MELC-NARE,0.42
2019-10-31,OCELOTE-ODL,0.08
2019-10-31,ORITO-PR-TR,0.65
2019-10-31,PALAGUA-VAS,0.6
2019-10-31,PERENCO-OBC,1
2019-10-31,QUIFA-ODL,0.46
2019-10-31,RUBIALES-ODL,0.41
2019-10-31,SANTANA-OMO,1
2019-10-31,SANTIAGO-CENIT,0.3
2019-11-30,CAÑO_LIMON_OCLC,0.75
2019-11-30,CICUCO-AYA,0.2
2019-11-30,CUPIAGUA-OCSA,0.93
2019-11-30,CUSIANA-OCSA,1
2019-11-30,DINA-TENAY,1
2019-11-30,ESPINAL-OAM,0.33
2019-11-30,FLOREÑA_OBC,0.99
2019-11-30,GUADUAS-OAM,0.01
2019-11-30,GUANDO-OAM,0.75
2019-11-30,JAGUAR-SANTIAGO,0.29
2019-11-30,MB_GRB_18,0.35
2019-11-30,MELC-NARE,0.49
2019-11-30,OCELOTE-ODL,0.09
2019-11-30,ORITO-PR-TR,0.61
2019-11-30,PALAGUA-VAS,0.59
2019-11-30,PERENCO-OBC,1
2019-11-30,QUIFA-ODL,0.46
2019-11-30,RUBIALES-ODL,0.41
2019-11-30,SANTANA-OMO,1
2019-11-30,SANTIAGO-CENIT,0.39
2019-12-31,CAÑO_LIMON_OCLC,0.55
2019-12-31,CUPIAGUA-OCSA,0.91
2019-12-31,CUSIANA-OCSA,1
2019-12-31,DINA-TENAY,1
2019-12-31,ESPINAL-OAM,0.29
2019-12-31,FLOREÑA_OBC,1
2019-12-31,GUADUAS-OAM,0.02
2019-12-31,GUANDO-OAM,0.75
2019-12-31,JAGUAR-SANTIAGO,0.28
2019-12-31,MB_GRB_18,0.35
2019-12-31,MELC-NARE,0.47
2019-12-31,OCELOTE-ODL,0.08
2019-12-31,ORITO-PR-TR,0.66
2019-12-31,PALAGUA-VAS,0.61
2019-12-31,PERENCO-OBC,1
2019-12-31,QUIFA-ODL,0.46
2019-12-31,RUBIALES-ODL,0.42
2019-12-31,SANTANA-OMO,1
2019-12-31,SANTIAGO-CENIT,0.16
2020-01-31,CAÑO_LIMON_OCLC,0.55
2020-01-31,CICUCO-AYA,0.18
2020-01-31,CUPIAGUA-OCSA,0.94
2020-01-31,CUSIANA-OCSA,1
2020-01-31,DINA-TENAY,0.94
2020-01-31,ESPINAL-OAM,0.34
2020-01-31,FLOREÑA_OBC,1
2020-01-31,GUADUAS-OAM,0.02
2020-01-31,GUANDO-OAM,0.75
2020-01-31,JAGUAR-SANTIAGO,0.3
2020-01-31,MB_GRB_18,0.38
2020-01-31,MELC-NARE,0.56
2020-01-31,OCELOTE-ODL,0.08
2020-01-31,ORITO-PR-TR,0.7
2020-01-31,PALAGUA-VAS,0.6
2020-01-31,QUIFA-ODL,0.46
2020-01-31,RUBIALES-ODL,0.42
2020-01-31,SANTANA-OMO,0.91
2020-01-31,SANTIAGO-CENIT,0.32
2020-02-29,CAÑO_LIMON_OCLC,0.56
2020-02-29,CICUCO-AYA,0.17
2020-02-29,CUPIAGUA-OCSA,1
2020-02-29,CUSIANA-OCSA,1
2020-02-29,DINA-TENAY,1
2020-02-29,ESPINAL-OAM,0.32
2020-02-29,FLOREÑA_OBC,1
2020-02-29,GUADUAS-OAM,0.01
2020-02-29,GUANDO-OAM,0.75
2020-02-29,JAGUAR-SANTIAGO,0.3
2020-02-29,MB_GRB_18,0.37
2020-02-29,MELC-NARE,0.5
2020-02-29,OCELOTE-ODL,0.09
2020-02-29,ORITO-PR-TR,0.66
2020-02-29,PALAGUA-VAS,1
2020-02-29,PERENCO-OBC,1
2020-02-29,QUIFA-ODL,0.46
2020-02-29,RUBIALES-ODL,0.43
2020-02-29,SANTANA-OMO,1
2020-02-29,SANTIAGO-CENIT,0.34
2020-03-31,CAÑO_LIMON_OCLC,0.55
2020-03-31,CICUCO-AYA,0.23
2020-03-31,DINA-TENAY,0.93
2020-03-31,ESPINAL-OAM,0.27
2020-03-31,FLOREÑA_OBC,1
2020-03-31,GUADUAS-OAM,0.01
2020-03-31,GUANDO-OAM,0.75
2020-03-31,JAGUAR-SANTIAGO,0.3
2020-03-31,MB_GRB_18,0.41
2020-03-31,MELC-NARE,0.52
2020-03-31,OCELOTE-ODL,0.11
2020-03-31,ORITO-PR-TR,0.41
2020-03-31,PALAGUA-VAS,1
2020-03-31,PERENCO-OBC,1
2020-03-31,QUIFA-ODL,0.45
2020-03-31,RUBIALES-ODL,0.49
2020-03-31,SANTANA-OMO,0.35
2020-03-31,SANTIAGO-CENIT,0.29
2020-04-30,CAÑO_LIMON_OCLC,0.54
2020-04-30,CICUCO-AYA,0.37
2020-04-30,DINA-TENAY,0.93
2020-04-30,ESPINAL-OAM,0.29
2020-04-30,FLOREÑA_OBC,1
2020-04-30,GUADUAS-OAM,0.01
2020-04-30,GUANDO-OAM,0.75
2020-04-30,JAGUAR-SANTIAGO,0.3
2020-04-30,MB_GRB_18,0.36
2020-04-30,MELC-NARE,0.46
2020-04-30,ORITO-PR-TR,0.8
2020-04-30,PALAGUA-VAS,1
2020-04-30,PERENCO-OBC,1
2020-04-30,QUIFA-ODL,0.45
2020-04-30,RUBIALES-ODL,1
2020-04-30,SANTANA-OMO,1
2020-04-30,SANTIAGO-CENIT,0.35
2020-05-31,CAÑO_LIMON_OCLC,0.52
2020-05-31,CICUCO-AYA,0.29
2020-05-31,DINA-TENAY,0.97
2020-05-31,ESPINAL-OAM,0.28
2020-05-31,FLOREÑA_OBC,1
2020-05-31,GUADUAS-OAM,0.04
2020-05-31,GUANDO-OAM,0.75
2020-05-31,JAGUAR-SANTIAGO,0.32
2020-05-31,MB_GRB_18,0.6
2020-05-31,ORITO-PR-TR,0.74
2020-05-31,PALAGUA-VAS,1
2020-05-31,PERENCO-OBC,1
2020-05-31,QUIFA-ODL,0.45
2020-05-31,RUBIALES-ODL,1
2020-05-31,SANTANA-OMO,0.13
